m,x,y,vx,vy,u,h,rho
0.02,0.43875174679602835,-0.08173890645948825,0.044405814689709465,0.0028035761635926263,0.02895218338359555,0.1404698226348262,1.459574826548176
0.02,-0.17184323728554052,0.4333991975983827,-0.005243210295842703,0.03789728168868138,-0.0871262106051563,0.1479879583688551,1.3150422845091334
0.02,0.1612007246805566,-0.23519643017323721,-0.03339077908399189,0.002565101977772346,0.010521637995542545,0.1251797738564415,1.837906232585789
0.02,0.5766046558188781,0.13877023767910507,0.041321770086962924,-0.015760916420787596,-0.050134510393420734,0.18044560977110688,0.8845040937758156
0.02,0.4588861402551027,0.28025675536226197,0.018775620444708468,-0.01879612850897099,-0.16394760167182526,0.16159483310996886,1.102903558131384
0.02,0.07416197103500068,0.2735560776372729,-0.01571884425463569,-0.013683603536751805,0.0928989115623702,0.12452790537325784,1.8571995683119635
0.02,-0.4045658677192784,-0.11685232523965619,0.02497817648118538,-0.024733169738553648,-0.10465269019480959,0.14287495107640155,1.4108482321841902
0.02,-0.4821235934192804,0.39651201331760794,-0.022896864445585773,0.0011785590712022876,0.006013053295299624,0.20395389101479813,0.6923542948489418
0.02,0.224026524577161,-0.31871260162872017,-0.013317241048000061,-0.024510677722673332,-0.015931341638887906,0.13635812120963547,1.548925213568711
0.02,-0.5727352421410917,0.19003131758243572,0.011006829084331888,0.007602147372249712,-0.07781605436722007,0.19038483006223625,0.7945619523529942
0.02,-0.3634500698000485,-0.49512183071925886,0.04051948594872223,0.00012656892537321352,-0.1407609978009917,0.1958094400166871,0.7511465059417403
0.02,-0.1681104999541539,0.34279717474173915,-0.04436351621056454,0.04696524002166166,-0.026694999975433713,0.1327318146055243,1.6347159123908725
0.02,-0.5101945886351953,-0.2809516212551898,-0.02073314606677147,-0.013274939776210148,-0.02587992443734988,0.1796581739022372,0.8922743966042724
0.02,0.6010837634651852,-0.15174786337642454,-0.018505197006474915,-0.03253577237225524,-0.05877661405217881,0.19937044267158066,0.7245542057835833
0.02,-0.1176059312077306,-0.42668152549161315,-0.06200479222379336,-0.021748967727321915,0.018855745153853208,0.1450817704433923,1.3682539026021332
0.02,-0.3098937419770681,0.40545809579511,0.046658235445369976,-0.010498314056812955,-0.04210246958236863,0.15461984759085215,1.2046521973119988
0.02,-0.3343753034112546,0.18383072329732658,-0.041402666518365314,0.03264181810751598,-0.01933839747743341,0.13600819947865964,1.5569041173547156
0.02,-0.3472948505182419,0.5053167733194481,-0.018937229392372343,0.0034669007136207425,-0.03986059140939286,0.19305310336748044,0.7727498144761363
0.02,-0.16376052155278967,-0.1656842691304488,0.026686974801835545,0.00887529767645008,-0.05727069746439595,0.1214557871742044,1.9523427388037307
0.02,-0.49872155246460154,0.24914933087547864,-0.047387989482794955,-0.0002748121495227324,-0.11184482497672442,0.1703574780566232,0.9923616610068533
0.02,-0.27158105960364004,-0.30170815542281343,-0.03267600177374614,-0.01914828945042849,0.005287724637032018,0.13481513839940315,1.5845827519590165
0.02,0.17971251621629733,0.15353888153539832,-0.014899503101070894,0.03854002613127247,0.03294604482430631,0.12063872895973982,1.9788762199620653
0.02,0.3851794274392408,0.14521029052940115,0.04890285866451085,0.02441273280234397,-0.013764605654173222,0.1366259707479463,1.5428580303871184
0.02,0.08365209082220261,0.4141977884922238,0.003062254991581699,0.009744879053698575,0.05268122369087487,0.14358360721654395,1.3969561300223863
0.02,0.26441897235439016,0.5276626478511499,0.0373707550505945,0.04307527057026685,-0.002064543688754014,0.18784470732174108,0.8161948238224677
0.02,0.2656882819790719,0.24803306311738776,0.006915759738778481,0.0020510056826946745,0.07584859896868944,0.1329810762890933,1.6285930712230725
0.02,-0.10555770249839533,0.07970709157995862,0.03484535476694861,0.03710895820494298,0.03712452061285636,0.11352885235377891,2.2344930842934967
0.02,0.3268293967489059,-0.2090763214938824,-0.007997670912640649,-0.02058257503704994,0.028021097123317202,0.1370348198617963,1.5336654049216623
