m,x,y,z,vx,vy,vz,u,h,rho
1,0.07500000066013833,0.725,0.725,0.0000019762191606647136,0.000000000000000000011589443597512243,0.000000000000000000011589443597512243,-0.000000002681628777397299,0.049971836697274404,1
1,0.07500000066013833,0.775,0.775,0.0000019762191606646797,-0.000000000000000000018040446523801003,-0.000000000000000000018040446523801003,-0.0000000026816287773972133,0.049971836697274404,1
1,0.07500000066013833,0.8250000000000001,0.8250000000000001,0.000001976219160664713,0.000000000000000000006451002926288756,0.000000000000000000006451002926288756,-0.000000002681628777397279,0.049971836697274404,1
1,0.07500000066013833,0.875,0.875,0.000001976219160664711,0.0000000000000000000015280474368467577,0.0000000000000000000015280474368467577,-0.0000000019558419567082093,0.049971836697274404,1
1,0.0750000007535093,0.9250000003354705,0.9250000003354705,0.000002255469425831909,0.000001004472629065594,0.000001004472629065594,-0.000000003914770850798361,0.049971836697274404,1
1,0.07500000015012431,0.9749999997049599,0.9749999997049599,0.0000004499618235719823,-0.0000008838647145344959,-0.0000008838647145344959,-0.0000000010043140736753514,0.04997670065397115,1
1,0.12499999989117329,0.024999999679985344,0.024999999679985344,-0.00000032538724274694614,-0.0000009583356514858584,-0.0000009583356514858584,0.0000000011996606776734097,0.04997670065397115,1
1,0.1250000001088267,0.07500000032001466,0.07500000032001466,0.00000032538724274692634,0.0000009583356514858556,0.0000009583356514858556,-0.0000000005334225053245082,0.049971836697274404,1
1,0.125,0.125,0.125,-0.0000000000000000000032092384305570903,0.000000000000000000006505213034913025,0.000000000000000000006505213034913025,-0.00000000008213012870342853,0.049971836697274404,1
1,0.125,0.175,0.175,0.0000000000000000000035995512126518725,-0.0000000000000000000016913553890773857,-0.0000000000000000000016913553890773857,-0.000000000000000000000039251181970901075,0.049971836697274404,1
1,0.125,0.225,0.225,0.000000000000000000002471980953266948,-0.0000000000000000000045536491244391204,-0.0000000000000000000045536491244391204,-0.000000000000000000000034159608235310033,0.049971836697274404,1
1,0.125,0.275,0.275,-0.0000000000000000000029923979960599914,-0.0000000000000000000010842021724855028,-0.0000000000000000000010842021724855028,0.0000000000000000000000081348687877376,0.049971836697274404,1
1,0.125,0.325,0.325,-0.000000000000000000002905661822261148,0.000000000000000000009150666335777656,0.000000000000000000009150666335777656,-0.000000000000000000000028814316363366786,0.049971836697274404,1
1,0.125,0.375,0.375,-0.00000000000000000000793635990259389,-0.000000000000000000006114900252818245,-0.000000000000000000006114900252818245,-0.0000000000000000000000022718678276943725,0.049971836697274404,1
1,0.125,0.42500000000000004,0.42500000000000004,-0.0000000000000000000018648277366750673,-0.000000000000000000004293440603042596,-0.000000000000000000004293440603042596,0.0000000000000000000000026689269346632225,0.049971836697274404,1
1,0.125,0.47500000000000003,0.47500000000000003,-0.0000000000000000000022551405187698484,0.00000000000000000001040834085586084,0.00000000000000000001040834085586084,-0.00000000000000000000003168337172672458,0.049971836697274404,1
1,0.125,0.525,0.525,-0.000000000000000000008977193988179977,-0.000000000000000000008630249292984617,-0.000000000000000000008630249292984617,0.000000000000000000000006186799762652739,0.049971836697274404,1
1,0.125,0.5750000000000001,0.5750000000000001,0.0000000000000000000012143064331837651,0.000000000000000000003729655473350138,0.000000000000000000003729655473350138,0.0000000000000000000000165058346355978,0.049971836697274404,1
1,0.125,0.625,0.625,0.00000000000000000000017347234759767966,0.0000000000000000000000000000000000005777789833161708,0.0000000000000000000000000000000000005777789833161708,0.000000000000000000000017795088253412467,0.049971836697274404,1
1,0.125,0.675,0.675,0.00000000000000000000017347234759767966,-0.0000000000000000000000000000000000005777789833161708,-0.0000000000000000000000000000000000005777789833161708,0.00000000000000000000002420188658813296,0.049971836697274404,1
1,0.125,0.725,0.725,0.0000000000000000000028622937353617317,0.000000000000000000009454242944073609,0.000000000000000000009454242944073609,-0.0000000000000000000000013407266910404728,0.049971836697274404,1
1,0.125,0.775,0.775,-0.000000000000000000017520707107365748,-0.000000000000000000019428902930940257,-0.000000000000000000019428902930940257,0.00000000000000000000004387607500072971,0.049971836697274404,1
1,0.125,0.8250000000000001,0.8250000000000001,0.0000000000000000000028622937353617317,0.00000000000000000000997465998686665,0.00000000000000000000997465998686665,0.000000000000000000000012545704048117282,0.049971836697274404,1
